trr_id,weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_catdridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position
684,SEMI-AUTO PISTOL,,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",5943,40, 9 MM,2.0,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,No,NONE,0-5FT,OBJECT,STANDING
705,SEMI-AUTO PISTOL,,"BERETTA -US- (BANTAM,BRIGADIER 951,EMPIRE,PUMA)",8045D,2.5INCHES, 45 ACP,8.0,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,No,NONE,OVER 15FT,UNKNOWN,STANDING
709,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
710,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
713,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
754,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
766,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
771,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
772,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
780,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
802,SEMI-AUTO PISTOL,,SIG-SAUER/COLT SAUER --GE-- (BEHORDEN),P228,4, 9 MM,2.0,No,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,DNA,Yes,VEHICLE,10-15FT,PERSON,STANDING
811,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
812,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
813,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
820,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
827,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
834,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
848,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
897,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
918,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
935,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
947,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
948,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1013,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1014,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1042,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1068,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1083,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1092,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1096,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1097,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1127,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1145,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1186,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1215,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1216,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1228,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1241,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1285,SEMI-AUTO PISTOL,,"BERETTA -US- (BANTAM,BRIGADIER 951,EMPIRE,PUMA)",92D,5, 9 MM,1.0,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,No,NONE,0-5FT,OBJECT,STANDING
1296,SEMI-AUTO PISTOL,,"BERETTA -US- (BANTAM,BRIGADIER 951,EMPIRE,PUMA)",92D,5, 9 MM,1.0,No,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,NONE,No,NONE,0-5FT,UNKNOWN,STANDING
1304,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1321,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1327,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1333,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1333,OTHER (SPECIFY),BATON,,,,,,,,,,,,,,,
1335,OTHER (SPECIFY),,REMINGTON ARMS CO. INC.,870,18.5,12 GA,6.0,No,0.0,RIGHT SIDE (WAIST),OTHER (SPECIFY),,Yes,SHIELD,OVER 15FT,,STANDING
1336,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1337,OTHER (SPECIFY),,REMINGTON ARMS CO. INC.,870,18.5,12 GA,1.0,No,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,DNA,Yes,DNA,OVER 15FT,PERSON,STANDING
1338,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1339,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1341,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1341,OTHER (SPECIFY),BATON,,,,,,,,,,,,,,,
1342,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1343,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1344,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1352,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1361,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1381,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1411,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1419,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1425,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1487,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1510,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1519,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1523,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1535,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1550,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1578,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1591,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1592,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1594,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1616,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1617,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1637,SEMI-AUTO PISTOL,,SIG-SAUER/COLT SAUER --GE-- (BEHORDEN),P220,"4.4""",45 CAL,3.0,No,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,No,NONE,OVER 15FT,OBJECT,STANDING
1638,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1639,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1640,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1656,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1661,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1667,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
1668,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1671,REVOLVER,,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",6402,2, 38 CAL,3.0,No,,OTHER (SPECIFY),STRONG SIDE DRAW,,Yes,PARKED VEHICLE,OVER 15FT,OBJECT,STANDING
1687,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1703,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1704,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1728,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1750,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1752,SEMI-AUTO PISTOL,,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",5943,4, 9 MM,1.0,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,No,NONE,0-5FT,OBJECT,STANDING
1753,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1756,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1760,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1794,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1797,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1806,SEMI-AUTO PISTOL,,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",3913,3, 9 MM,4.0,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,No,NONE,OVER 15FT,UNKNOWN,STANDING
1820,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1831,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1837,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1861,SEMI-AUTO PISTOL,,SIG-SAUER/COLT SAUER --GE-- (BEHORDEN),P226,"4.41""", 9 MM,1.0,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,No,NONE,05-10FT,PERSON,STANDING
1872,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1885,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1886,SEMI-AUTO PISTOL,,SIG-SAUER/COLT SAUER --GE-- (BEHORDEN),P226,4, 9 MM,6.0,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,Yes,NONE,05-10FT,PERSON,STANDING
1887,SEMI-AUTO PISTOL,,SIG-SAUER/COLT SAUER --GE-- (BEHORDEN),P226,4.5, 9 MM,7.0,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,No,CARS,10-15FT,PERSON,STANDING
1888,SEMI-AUTO PISTOL,,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",6946,3.5, 9 MM,4.0,No,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,Yes,NONE,10-15FT,PERSON,STANDING
1889,SEMI-AUTO PISTOL,,"BERETTA -US- (BANTAM,BRIGADIER 951,EMPIRE,PUMA)",8045D,4, 45 ACP,6.0,No,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,No,NONE,05-10FT,PERSON,STANDING
1890,SEMI-AUTO PISTOL,,SIG-SAUER/COLT SAUER --GE-- (BEHORDEN),P220ST,4, 45 ACP,5.0,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,No,NONE,OVER 15FT,PERSON,STANDING
1948,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1968,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1974,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1979,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1980,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
1998,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2003,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2029,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2048,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2056,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2063,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2071,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2087,SEMI-AUTO PISTOL,,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",5943,40, 9 MM,5.0,No,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,DNA,Yes,TREE,OVER 15FT,PERSON,STANDING
2088,SEMI-AUTO PISTOL,,SIG-SAUER/COLT SAUER --GE-- (BEHORDEN),P226,3.5, 9 MM,2.0,No,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,NONE,No,NO,0-5FT,PERSON,SITTING
2090,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2097,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2101,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2104,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2106,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2126,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2142,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2144,SEMI-AUTO PISTOL,,SIG-SAUER/COLT SAUER --GE-- (BEHORDEN),P239,2.5, 9 MM,6.0,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,No,NONE,10-15FT,PERSON,STANDING
2165,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2167,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
2172,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2186,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2190,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2206,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2214,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2222,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
2226,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
2231,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2232,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2234,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2237,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2238,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2248,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2249,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2259,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2266,SEMI-AUTO PISTOL,,SIG-SAUER/COLT SAUER --GE-- (BEHORDEN),P226,4.5, 9 MM,5.0,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,No,NONE,0-5FT,BOTH,OTHER (SPECIFY)
2283,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2293,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2325,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2342,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2345,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
2347,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2361,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2363,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2376,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2388,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2399,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2401,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2404,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2418,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
2426,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2428,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
2434,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2454,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2459,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2463,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2470,SEMI-AUTO PISTOL,,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",6946,4, 9 MM,10.0,Yes,12.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,CLIP,No,VEHICLE,OVER 15FT,OBJECT,SITTING
2471,SEMI-AUTO PISTOL,,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",5943,4, 9 MM,7.0,No,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,D-N-A,Yes,VEHICLE,OVER 15FT,OBJECT,SITTING
2480,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2483,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2486,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
2501,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
2517,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2522,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2529,SEMI-AUTO PISTOL,,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",CHIEF SPECIAL,2.5, 45 ACP,2.0,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,No,NONE,10-15FT,PERSON,OTHER (SPECIFY)
2535,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2545,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2587,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2596,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2610,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2622,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2623,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2633,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2637,SEMI-AUTO PISTOL,,"BERETTA -US- (BANTAM,BRIGADIER 951,EMPIRE,PUMA)",92D COMPACT,5, 9 MM,4.0,No,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,DNA,Yes,NONE,05-10FT,OBJECT,STANDING
2638,SEMI-AUTO PISTOL,,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",5943 TSW,4, 9 MM,4.0,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,Yes,CAR DOOR,05-10FT,UNKNOWN,STANDING
2639,SEMI-AUTO PISTOL,,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",5943,4, 9 MM,15.0,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,No,CAR DOOR,05-10FT,UNKNOWN,STANDING
2645,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2648,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2667,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2672,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
2675,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
2676,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
2680,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2682,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2684,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2686,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2690,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2695,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
2700,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2701,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2704,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2721,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2722,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2724,REVOLVER,,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",640,20, 38 CAL,1.0,No,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,DNA,Yes,RIGHT FENDER OF CAR,OVER 15FT,UNKNOWN,STANDING
2729,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2730,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2732,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2734,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2735,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2737,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2740,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2748,OTHER (SPECIFY),EXPANDABLE BATON,,,,,,,,,,,,,,,
2765,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
2768,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2772,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2785,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2801,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2802,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2807,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2814,OTHER (SPECIFY),,TASER--US--(FIRES ELECTRICALLY CHARGED DARTS.),X26,,,,,,,,,,,,,
2816,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2819,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
2824,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2825,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2828,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2842,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2844,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
2856,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
2863,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
2875,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2888,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
2889,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2890,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2894,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2900,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
2935,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2946,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2979,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2982,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
2986,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
2997,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3012,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
3029,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3037,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3043,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
3049,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3068,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
3071,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3089,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3098,REVOLVER,,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",686,"4""",357 MAG,1.0,No,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,No,NONE,0-5FT,UNKNOWN,KNEELING
3111,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3112,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3114,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
3125,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3126,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3137,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3138,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3139,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3158,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3175,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3182,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
3183,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
3202,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3246,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3259,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3264,SEMI-AUTO PISTOL,,"BERETTA -US- (BANTAM,BRIGADIER 951,EMPIRE,PUMA)",92D,5, 9 MM,3.0,No,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,No,CAR DOOR,0-5FT,PERSON,STANDING
3265,SEMI-AUTO PISTOL,,SIG-SAUER/COLT SAUER --GE-- (BEHORDEN),P226,4.5, 9 MM,4.0,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,No,NONE,0-5FT,PERSON,STANDING
3266,SEMI-AUTO PISTOL,,"BERETTA -US- (BANTAM,BRIGADIER 951,EMPIRE,PUMA)",92D,5, 9 MM,3.0,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,No,CAR DOOR,0-5FT,PERSON,STANDING
3267,SEMI-AUTO PISTOL,,SIG-SAUER/COLT SAUER --GE-- (BEHORDEN),P226,4.5, 9 MM,4.0,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,No,NONE,0-5FT,PERSON,STANDING
3285,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3290,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3298,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3300,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
3307,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
3308,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
3309,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,
3314,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
