trr_id,weapon_type,firearm_caliber,weapon_description
295,FEET,,
295,HANDS/FISTS,,
295,VERBAL THREAT (ASSAULT),,
296,FEET,,
296,VERBAL THREAT (ASSAULT),,
297,FEET,,
297,HANDS/FISTS,,
297,VERBAL THREAT (ASSAULT),,
298,HANDS/FISTS,,
299,HANDS/FISTS,,
300,FEET,,
300,HANDS/FISTS,,
301,HANDS/FISTS,,
302,HANDS/FISTS,,
303,FEET,,
303,HANDS/FISTS,,
304,FEET,,
304,HANDS/FISTS,,
305,VERBAL THREAT (ASSAULT),,
306,VERBAL THREAT (ASSAULT),,
307,VERBAL THREAT (ASSAULT),,
308,VERBAL THREAT (ASSAULT),,
309,VERBAL THREAT (ASSAULT),,
310,HANDS/FISTS,,
311,HANDS/FISTS,,
314,FEET,,
314,HANDS/FISTS,,
315,FEET,,
315,HANDS/FISTS,,
320,HANDS/FISTS,,
320,VERBAL THREAT (ASSAULT),,
326,HANDS/FISTS,,
332,"MOUTH (SPIT,BITE,ETC)",,
334,KNIFE/OTHER CUTTING INSTRUMENT,,"12"" - 14"" BUTCHER KNIFE"
335,KNIFE/OTHER CUTTING INSTRUMENT,,"12"" - 14"" BUTCHER KNIFE"
336,KNIFE/OTHER CUTTING INSTRUMENT,,"12"" - 14"" BUTCHER KNIFE"
337,KNIFE/OTHER CUTTING INSTRUMENT,,"12""-14"" BUTCHER KNIFE"
340,FIREARM - REVOLVER, 38 CAL,
341,FIREARM - REVOLVER, 38 CAL,
342,HANDS/FISTS,,
343,OTHER (SPECIFY),,ELBOW
344,OTHER (SPECIFY),,ELBOW
345,OTHER (SPECIFY),,ELBOW
346,FEET,,
346,HANDS/FISTS,,
346,VERBAL THREAT (ASSAULT),,
347,FEET,,
347,HANDS/FISTS,,
347,VERBAL THREAT (ASSAULT),,
358,FEET,,
358,OTHER (SPECIFY),,PUSHING
358,VERBAL THREAT (ASSAULT),,
360,KNIFE/OTHER CUTTING INSTRUMENT,,
361,KNIFE/OTHER CUTTING INSTRUMENT,,
364,VEHICLE - OFFICER STRUCK WITH VEHICLE,,
366,FIREARM - REVOLVER, 38 CAL,
367,FIREARM - REVOLVER, 38 CAL,
374,HANDS/FISTS,,
376,FEET,,
376,HANDS/FISTS,,
378,FIREARM - SEMI-AUTOMATIC, 9 MM,
380,FIREARM - SEMI-AUTOMATIC, 9 MM,
385,HANDS/FISTS,,
388,FIREARM - SEMI-AUTOMATIC,25 ACP,
389,FIREARM - SEMI-AUTOMATIC,25 ACP,
396,HANDS/FISTS,,
397,HANDS/FISTS,,
400,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,
409,HANDS/FISTS,,
410,HANDS/FISTS,,
410,VERBAL THREAT (ASSAULT),,
412,FEET,,
412,"MOUTH (SPIT,BITE,ETC)",,
412,VERBAL THREAT (ASSAULT),,
418,FEET,,
418,HANDS/FISTS,,
418,VERBAL THREAT (ASSAULT),,
419,FEET,,
419,HANDS/FISTS,,
419,VERBAL THREAT (ASSAULT),,
420,FEET,,
420,HANDS/FISTS,,
420,VERBAL THREAT (ASSAULT),,
425,HANDS/FISTS,,
425,VERBAL THREAT (ASSAULT),,
429,FEET,,
429,HANDS/FISTS,,
430,FEET,,
430,HANDS/FISTS,,
431,FEET,,
431,HANDS/FISTS,,
433,OTHER (SPECIFY),,ELBOW
434,HANDS/FISTS,,
434,"MOUTH (SPIT,BITE,ETC)",,
444,HANDS/FISTS,,
444,OTHER (SPECIFY),,BODY
447,HANDS/FISTS,,
447,VERBAL THREAT (ASSAULT),,
451,HANDS/FISTS,,
451,"MOUTH (SPIT,BITE,ETC)",,
452,HANDS/FISTS,,
452,"MOUTH (SPIT,BITE,ETC)",,
453,HANDS/FISTS,,
453,"MOUTH (SPIT,BITE,ETC)",,
455,HANDS/FISTS,,
459,OTHER (SPECIFY),,HAMMER
461,HANDS/FISTS,,
465,HANDS/FISTS,,
469,HANDS/FISTS,,
470,HANDS/FISTS,,
475,HANDS/FISTS,,
484,HANDS/FISTS,,
489,FEET,,
489,HANDS/FISTS,,
489,VERBAL THREAT (ASSAULT),,
491,VERBAL THREAT (ASSAULT),,
492,HANDS/FISTS,,
493,HANDS/FISTS,,
495,HANDS/FISTS,,
495,VERBAL THREAT (ASSAULT),,
496,HANDS/FISTS,,
496,VERBAL THREAT (ASSAULT),,
497,HANDS/FISTS,,
497,VERBAL THREAT (ASSAULT),,
498,HANDS/FISTS,,
498,VERBAL THREAT (ASSAULT),,
499,HANDS/FISTS,,
499,VERBAL THREAT (ASSAULT),,
500,HANDS/FISTS,,
500,VERBAL THREAT (ASSAULT),,
505,FEET,,
505,HANDS/FISTS,,
505,"MOUTH (SPIT,BITE,ETC)",,
506,FEET,,
506,"MOUTH (SPIT,BITE,ETC)",,
507,HANDS/FISTS,,
512,FEET,,
512,HANDS/FISTS,,
512,"MOUTH (SPIT,BITE,ETC)",,
512,VERBAL THREAT (ASSAULT),,
513,"MOUTH (SPIT,BITE,ETC)",,
515,HANDS/FISTS,,
515,VERBAL THREAT (ASSAULT),,
517,HANDS/FISTS,,
519,HANDS/FISTS,,
520,VERBAL THREAT (ASSAULT),,
523,HANDS/FISTS,,
524,OTHER (SPECIFY),,BOTTLE
524,VERBAL THREAT (ASSAULT),,
525,HANDS/FISTS,,
525,OTHER (SPECIFY),,ELBOWS
526,HANDS/FISTS,,
526,"MOUTH (SPIT,BITE,ETC)",,
529,FEET,,
529,HANDS/FISTS,,
529,"MOUTH (SPIT,BITE,ETC)",,
549,HANDS/FISTS,,
549,OTHER (SPECIFY),,ELBOWS
556,HANDS/FISTS,,
556,VERBAL THREAT (ASSAULT),,
563,FEET,,
563,"MOUTH (SPIT,BITE,ETC)",,
564,HANDS/FISTS,,
564,"MOUTH (SPIT,BITE,ETC)",,
566,HANDS/FISTS,,
567,FEET,,
567,HANDS/FISTS,,
567,VERBAL THREAT (ASSAULT),,
568,FEET,,
568,HANDS/FISTS,,
568,VERBAL THREAT (ASSAULT),,
580,FEET,,
580,HANDS/FISTS,,
595,FEET,,
595,HANDS/FISTS,,
595,"MOUTH (SPIT,BITE,ETC)",,
595,VERBAL THREAT (ASSAULT),,
599,HANDS/FISTS,,
600,HANDS/FISTS,,
600,VERBAL THREAT (ASSAULT),,
604,OTHER (SPECIFY),,CAST ON OFFENDERS RIGHT FOREARM
608,BLUNT INSTRUMENT,,SHOVEL
608,FEET,,
609,HANDS/FISTS,,
609,VERBAL THREAT (ASSAULT),,
610,HANDS/FISTS,,
610,VERBAL THREAT (ASSAULT),,
613,HANDS/FISTS,,
615,OTHER (SPECIFY),,RAPTOR STUN GUN
617,HANDS/FISTS,,
617,"MOUTH (SPIT,BITE,ETC)",,
618,"MOUTH (SPIT,BITE,ETC)",,
619,HANDS/FISTS,,
620,"MOUTH (SPIT,BITE,ETC)",,
621,HANDS/FISTS,,
623,HANDS/FISTS,,
628,HANDS/FISTS,,
630,FEET,,
630,HANDS/FISTS,,
630,"MOUTH (SPIT,BITE,ETC)",,
630,VERBAL THREAT (ASSAULT),,
634,HANDS/FISTS,,
635,OTHER (SPECIFY),,DOG
638,FEET,,
638,HANDS/FISTS,,
640,FEET,,
640,HANDS/FISTS,,
640,VERBAL THREAT (ASSAULT),,
641,HANDS/FISTS,,
646,HANDS/FISTS,,
647,FEET,,
647,HANDS/FISTS,,
647,VERBAL THREAT (ASSAULT),,
648,FEET,,
648,HANDS/FISTS,,
648,VERBAL THREAT (ASSAULT),,
649,FEET,,
649,HANDS/FISTS,,
650,FEET,,
650,HANDS/FISTS,,
669,FEET,,
669,VERBAL THREAT (ASSAULT),,
672,FEET,,
672,HANDS/FISTS,,
672,"MOUTH (SPIT,BITE,ETC)",,
673,FEET,,
673,HANDS/FISTS,,
673,VERBAL THREAT (ASSAULT),,
677,FEET,,
680,FEET,,
680,"MOUTH (SPIT,BITE,ETC)",,
681,OTHER (SPECIFY),,MENACED WITH SCREWDRIVER
681,OTHER (SPECIFY),,SCREWDRIVER
682,"MOUTH (SPIT,BITE,ETC)",,
683,HANDS/FISTS,,
683,VERBAL THREAT (ASSAULT),,
684,HANDS/FISTS,,
684,VERBAL THREAT (ASSAULT),,
685,"MOUTH (SPIT,BITE,ETC)",,
686,FIREARM - SEMI-AUTOMATIC, 9 MM,
690,FEET,,
690,HANDS/FISTS,,
692,FEET,,
692,HANDS/FISTS,,
698,HANDS/FISTS,,
699,FEET,,
699,HANDS/FISTS,,
699,VERBAL THREAT (ASSAULT),,
700,FEET,,
700,HANDS/FISTS,,
700,VERBAL THREAT (ASSAULT),,
701,FEET,,
701,HANDS/FISTS,,
701,VERBAL THREAT (ASSAULT),,
702,FEET,,
702,HANDS/FISTS,,
702,VERBAL THREAT (ASSAULT),,
703,HANDS/FISTS,,
705,FIREARM - SEMI-AUTOMATIC, 9 MM,
709,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,
710,FEET,,
710,HANDS/FISTS,,
710,VERBAL THREAT (ASSAULT),,
711,FEET,,
711,HANDS/FISTS,,
711,"MOUTH (SPIT,BITE,ETC)",,
712,HANDS/FISTS,,
712,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,
712,VERBAL THREAT (ASSAULT),,
713,FEET,,
714,FEET,,
714,HANDS/FISTS,,
714,OTHER (SPECIFY),OTHER,BB GUN
715,FEET,,
715,OTHER (SPECIFY),,BB GUN
715,OTHER (SPECIFY),,LEGS
716,FEET,,
716,HANDS/FISTS,,
716,VERBAL THREAT (ASSAULT),,
717,FEET,,
717,HANDS/FISTS,,
720,OTHER (SPECIFY),OTHER,B.B. GUN
721,OTHER (SPECIFY),,BB GUN
730,OTHER (SPECIFY),,NONE
731,HANDS/FISTS,,
732,HANDS/FISTS,,
736,FEET,,
736,HANDS/FISTS,,
736,"MOUTH (SPIT,BITE,ETC)",,
736,VERBAL THREAT (ASSAULT),,
737,VEHICLE - OFFICER STRUCK WITH VEHICLE,,
740,HANDS/FISTS,,
740,VERBAL THREAT (ASSAULT),,
744,HANDS/FISTS,,
751,KNIFE/OTHER CUTTING INSTRUMENT,,
752,KNIFE/OTHER CUTTING INSTRUMENT,,
753,KNIFE/OTHER CUTTING INSTRUMENT,,
759,FEET,,
763,FEET,,
763,VERBAL THREAT (ASSAULT),,
764,FEET,,
764,HANDS/FISTS,,
764,VERBAL THREAT (ASSAULT),,
768,FEET,,
768,FIREARM - SEMI-AUTOMATIC, 9 MM,
768,HANDS/FISTS,,
769,HANDS/FISTS,,
769,VERBAL THREAT (ASSAULT),,
770,VERBAL THREAT (ASSAULT),,
771,OTHER (SPECIFY),,ROCK
773,HANDS/FISTS,,
774,HANDS/FISTS,,
775,OTHER (SPECIFY),,ROCK
775,OTHER (SPECIFY),,THREW ROCK AT OFFICER
776,FEET,,
776,HANDS/FISTS,,
777,FIREARM - SEMI-AUTOMATIC,40 S&W,
782,HANDS/FISTS,,
785,HANDS/FISTS,,
787,HANDS/FISTS,,
790,FEET,,
790,HANDS/FISTS,,
791,HANDS/FISTS,,
792,HANDS/FISTS,,
802,FIREARM - REVOLVER, 38 CAL,
805,HANDS/FISTS,,
805,"MOUTH (SPIT,BITE,ETC)",,
805,VERBAL THREAT (ASSAULT),,
806,FIREARM - REVOLVER, 38 CAL,
807,FEET,,
807,"MOUTH (SPIT,BITE,ETC)",,
808,FEET,,
808,"MOUTH (SPIT,BITE,ETC)",,
808,VERBAL THREAT (ASSAULT),,
809,FEET,,
809,HANDS/FISTS,,
809,"MOUTH (SPIT,BITE,ETC)",,
811,HANDS/FISTS,,
811,VERBAL THREAT (ASSAULT),,
812,HANDS/FISTS,,
813,HANDS/FISTS,,
814,OTHER (SPECIFY),,SWINGING FISTS BUT NO CONTACT
814,VERBAL THREAT (ASSAULT),,
821,HANDS/FISTS,,
822,HANDS/FISTS,,
827,FEET,,
827,HANDS/FISTS,,
827,OTHER (SPECIFY),,DISARMED P.O. RODRIGUEZ
828,FEET,,
828,HANDS/FISTS,,
829,FEET,,
829,HANDS/FISTS,,
829,VERBAL THREAT (ASSAULT),,
832,HANDS/FISTS,,
833,FEET,,
833,HANDS/FISTS,,
833,"MOUTH (SPIT,BITE,ETC)",,
833,VERBAL THREAT (ASSAULT),,
834,FEET,,
834,HANDS/FISTS,,
835,FEET,,
835,HANDS/FISTS,,
835,"MOUTH (SPIT,BITE,ETC)",,
835,VERBAL THREAT (ASSAULT),,
836,FEET,,
836,HANDS/FISTS,,
836,"MOUTH (SPIT,BITE,ETC)",,
836,VERBAL THREAT (ASSAULT),,
837,FEET,,
848,HANDS/FISTS,,
848,VERBAL THREAT (ASSAULT),,
859,FIREARM - REVOLVER, 38 CAL,
860,FEET,,
860,HANDS/FISTS,,
861,FEET,,
861,HANDS/FISTS,,
863,FEET,,
863,HANDS/FISTS,,
867,FEET,,
867,HANDS/FISTS,,
869,FEET,,
869,HANDS/FISTS,,
870,HANDS/FISTS,,
870,"MOUTH (SPIT,BITE,ETC)",,
870,VERBAL THREAT (ASSAULT),,
871,FEET,,
871,HANDS/FISTS,,
871,VERBAL THREAT (ASSAULT),,
872,FEET,,
872,HANDS/FISTS,,
879,FEET,,
887,HANDS/FISTS,,
893,FEET,,
895,HANDS/FISTS,,
895,VERBAL THREAT (ASSAULT),,
896,FEET,,
896,HANDS/FISTS,,
897,HANDS/FISTS,,
905,"MOUTH (SPIT,BITE,ETC)",,
908,OTHER (SPECIFY),,ATTEMPTED DISARM
909,HANDS/FISTS,,
911,HANDS/FISTS,,
911,OTHER (SPECIFY),,CLUB
926,FEET,,
926,HANDS/FISTS,,
926,"MOUTH (SPIT,BITE,ETC)",,
926,VERBAL THREAT (ASSAULT),,
927,FEET,,
927,HANDS/FISTS,,
927,"MOUTH (SPIT,BITE,ETC)",,
927,OTHER (SPECIFY),,"ABOVE KICKED AND SPIT AND THREATENED ""TO FUCK R/O'S UP"""
927,VERBAL THREAT (ASSAULT),,
929,FEET,,
936,HANDS/FISTS,,
936,VERBAL THREAT (ASSAULT),,
939,HANDS/FISTS,,
940,FEET,,
941,OTHER (SPECIFY),,HEAD BUTT
944,HANDS/FISTS,,
944,VERBAL THREAT (ASSAULT),,
945,FEET,,
945,HANDS/FISTS,,
946,"MOUTH (SPIT,BITE,ETC)",,
947,HANDS/FISTS,,
947,VERBAL THREAT (ASSAULT),,
948,HANDS/FISTS,,
948,VERBAL THREAT (ASSAULT),,
950,OTHER (SPECIFY),,BOTTLES
951,OTHER (SPECIFY),,BOTTLES
951,OTHER (SPECIFY),,BOTTLES THROWN
952,OTHER (SPECIFY),,BOTTLES THROWN
952,OTHER (SPECIFY),,THROWING BOTTLES
953,"MOUTH (SPIT,BITE,ETC)",,
959,HANDS/FISTS,,
961,FEET,,
961,HANDS/FISTS,,
962,FEET,,
962,HANDS/FISTS,,
965,OTHER (SPECIFY),,HEADBUTT
976,HANDS/FISTS,,
977,FEET,,
977,HANDS/FISTS,,
977,"MOUTH (SPIT,BITE,ETC)",,
977,VERBAL THREAT (ASSAULT),,
978,HANDS/FISTS,,
984,HANDS/FISTS,,
986,HANDS/FISTS,,
986,VERBAL THREAT (ASSAULT),,
990,HANDS/FISTS,,
993,VERBAL THREAT (ASSAULT),,
994,VERBAL THREAT (ASSAULT),,
996,FEET,,
999,HANDS/FISTS,,
1002,OTHER (SPECIFY),,ELBOW
1004,FEET,,
1004,"MOUTH (SPIT,BITE,ETC)",,
1004,VERBAL THREAT (ASSAULT),,
1005,"MOUTH (SPIT,BITE,ETC)",,
1006,HANDS/FISTS,,
1007,HANDS/FISTS,,
1007,"MOUTH (SPIT,BITE,ETC)",,
1008,KNIFE/OTHER CUTTING INSTRUMENT,,
1009,KNIFE/OTHER CUTTING INSTRUMENT,,
1011,KNIFE/OTHER CUTTING INSTRUMENT,,
1012,KNIFE/OTHER CUTTING INSTRUMENT,,
1017,FEET,,
1017,"MOUTH (SPIT,BITE,ETC)",,
1019,HANDS/FISTS,,
1019,VERBAL THREAT (ASSAULT),,
1020,HANDS/FISTS,,
1025,FEET,,
1026,HANDS/FISTS,,
1027,VERBAL THREAT (ASSAULT),,
1046,FIREARM - REVOLVER, 38 CAL,
1047,FEET,,
1047,HANDS/FISTS,,
1050,"MOUTH (SPIT,BITE,ETC)",,
1050,VERBAL THREAT (ASSAULT),,
1052,"MOUTH (SPIT,BITE,ETC)",,
1052,VERBAL THREAT (ASSAULT),,
1054,HANDS/FISTS,,
1054,OTHER (SPECIFY),,STEEL SECURITY DOOR
1065,FEET,,
1065,"MOUTH (SPIT,BITE,ETC)",,
1065,VERBAL THREAT (ASSAULT),,
1066,FEET,,
1066,"MOUTH (SPIT,BITE,ETC)",,
1067,OTHER (SPECIFY),,FEET
1068,FEET,,
1068,HANDS/FISTS,,
1068,"MOUTH (SPIT,BITE,ETC)",,
1069,HANDS/FISTS,,
1069,VERBAL THREAT (ASSAULT),,
1070,HANDS/FISTS,,
1070,VERBAL THREAT (ASSAULT),,
1073,"MOUTH (SPIT,BITE,ETC)",,
1074,HANDS/FISTS,,
1075,HANDS/FISTS,,
1075,VERBAL THREAT (ASSAULT),,
1078,BLUNT INSTRUMENT,,TREE BRANCH
1082,BLUNT INSTRUMENT,,TREE BRANCH
1084,FEET,,
1084,HANDS/FISTS,,
1086,HANDS/FISTS,,
1089,BLUNT INSTRUMENT,,
1092,FEET,,
1092,HANDS/FISTS,,
1095,FEET,,
1095,HANDS/FISTS,,
1095,"MOUTH (SPIT,BITE,ETC)",,
1095,OTHER (SPECIFY),,GRABBED OFFICERS WEAPON
1095,VERBAL THREAT (ASSAULT),,
1096,FEET,,
1096,HANDS/FISTS,,
1096,VERBAL THREAT (ASSAULT),,
1097,FEET,,
1097,HANDS/FISTS,,
1097,"MOUTH (SPIT,BITE,ETC)",,
1097,VERBAL THREAT (ASSAULT),,
1098,HANDS/FISTS,,
1099,"MOUTH (SPIT,BITE,ETC)",,
1101,HANDS/FISTS,,
1103,OTHER (SPECIFY),,HEAD BUTT
1104,HANDS/FISTS,,
1109,HANDS/FISTS,,
1113,HANDS/FISTS,,
1114,FEET,,
1114,HANDS/FISTS,,
1116,FEET,,
1116,HANDS/FISTS,,
1134,FEET,,
1134,HANDS/FISTS,,
1135,FEET,,
1135,HANDS/FISTS,,
1137,FEET,,
1137,HANDS/FISTS,,
1139,HANDS/FISTS,,
1139,VERBAL THREAT (ASSAULT),,
1142,OTHER (SPECIFY),,WOODEN CLUB
1143,OTHER (SPECIFY),,WOODEN CLUB
1144,FEET,,
1146,FEET,,
1147,HANDS/FISTS,,
1149,HANDS/FISTS,,
1151,KNIFE/OTHER CUTTING INSTRUMENT,,
1152,HANDS/FISTS,,
1153,"MOUTH (SPIT,BITE,ETC)",,
1154,FEET,,
1154,"MOUTH (SPIT,BITE,ETC)",,
1155,"MOUTH (SPIT,BITE,ETC)",,
1155,VERBAL THREAT (ASSAULT),,
1156,FEET,,
1156,"MOUTH (SPIT,BITE,ETC)",,
1157,HANDS/FISTS,,
1157,"MOUTH (SPIT,BITE,ETC)",,
1158,FEET,,
1158,HANDS/FISTS,,
1158,"MOUTH (SPIT,BITE,ETC)",,
1158,VERBAL THREAT (ASSAULT),,
1161,HANDS/FISTS,,
1162,HANDS/FISTS,,
1163,VERBAL THREAT (ASSAULT),,
1164,VERBAL THREAT (ASSAULT),,
1166,OTHER (SPECIFY),,SHOULDER/HEAD
1169,FEET,,
1169,HANDS/FISTS,,
1169,VERBAL THREAT (ASSAULT),,
1171,HANDS/FISTS,,
1172,FIREARM - SEMI-AUTOMATIC,380 ACP,
1173,HANDS/FISTS,,
1174,HANDS/FISTS,,
1179,"MOUTH (SPIT,BITE,ETC)",,
1180,FEET,,
1180,HANDS/FISTS,,
1183,HANDS/FISTS,,
1184,VERBAL THREAT (ASSAULT),,
1185,VERBAL THREAT (ASSAULT),,
1190,HANDS/FISTS,,
1190,VERBAL THREAT (ASSAULT),,
1191,VERBAL THREAT (ASSAULT),,
1194,FIREARM - SEMI-AUTOMATIC,380 ACP,
1196,HANDS/FISTS,,
1198,FEET,,
1198,OTHER (SPECIFY),,LEG AND HEAD
1198,VERBAL THREAT (ASSAULT),,
1201,VERBAL THREAT (ASSAULT),,
1205,"MOUTH (SPIT,BITE,ETC)",,
1212,HANDS/FISTS,,
1212,"MOUTH (SPIT,BITE,ETC)",,
1212,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,
1213,OTHER (SPECIFY),,BLACK INK PEN
1213,VERBAL THREAT (ASSAULT),,
1214,OTHER (SPECIFY),,BLACK INK PEN
1215,KNIFE/OTHER CUTTING INSTRUMENT,,
1216,KNIFE/OTHER CUTTING INSTRUMENT,,
1219,HANDS/FISTS,,
1221,HANDS/FISTS,,
1222,HANDS/FISTS,,
1224,HANDS/FISTS,,
1225,HANDS/FISTS,,
1227,FIREARM - SEMI-AUTOMATIC,380 ACP,
1228,FEET,,
1228,HANDS/FISTS,,
1228,OTHER (SPECIFY),,FLAILED AND KICKED
1228,VERBAL THREAT (ASSAULT),,
1229,FEET,,
1229,HANDS/FISTS,,
1229,OTHER (SPECIFY),,FLAILED AND KICKED 
1229,VERBAL THREAT (ASSAULT),,
1233,FEET,,
1233,"MOUTH (SPIT,BITE,ETC)",,
1233,VERBAL THREAT (ASSAULT),,
1241,FIREARM - SEMI-AUTOMATIC,380 ACP,
1242,FIREARM - SEMI-AUTOMATIC,380 ACP,
1243,FIREARM - SEMI-AUTOMATIC,380 ACP,
1244,FIREARM - SEMI-AUTOMATIC,380 ACP,
1246,VERBAL THREAT (ASSAULT),,
1247,FEET,,
1247,VERBAL THREAT (ASSAULT),,
1248,VERBAL THREAT (ASSAULT),,
1262,FEET,,
1262,HANDS/FISTS,,
1263,HANDS/FISTS,,
1272,HANDS/FISTS,,
1273,OTHER (SPECIFY),,ATT HEAD BUTT
1273,VERBAL THREAT (ASSAULT),,
1274,HANDS/FISTS,,
1275,VERBAL THREAT (ASSAULT),,
1276,OTHER (SPECIFY),,GLASS BOTTLE
1276,OTHER (SPECIFY),,THREW GLASS BOTTLE
1277,OTHER (SPECIFY),,GLASS BOTTLE
1277,OTHER (SPECIFY),,THREW BOTTLE
1285,FIREARM - REVOLVER,22 SHORT,
1285,OTHER (SPECIFY),,FIREARM
1288,HANDS/FISTS,,
1290,HANDS/FISTS,,
1292,HANDS/FISTS,,
1294,HANDS/FISTS,,
1296,HANDS/FISTS,,
1297,"MOUTH (SPIT,BITE,ETC)",,
1298,FEET,,
1298,HANDS/FISTS,,
1298,"MOUTH (SPIT,BITE,ETC)",,
1298,VERBAL THREAT (ASSAULT),,
1300,OTHER (SPECIFY),,MOTOR VEHICLE
1300,VEHICLE - OFFICER STRUCK WITH VEHICLE,,
1301,OTHER (SPECIFY),,MOTOR VEHICLE
1311,HANDS/FISTS,,
1312,FIREARM - SEMI-AUTOMATIC, 45 ACP,
1313,FEET,,
1314,FEET,,
1314,HANDS/FISTS,,
1314,VERBAL THREAT (ASSAULT),,
1318,BLUNT INSTRUMENT,,
1321,HANDS/FISTS,,
1321,OTHER (SPECIFY),,CONTINUING TO STRIKE HOUSEHOLD MEMBERS/VICTIMS
1321,VERBAL THREAT (ASSAULT),,
1322,FEET,,
1322,HANDS/FISTS,,
1324,FEET,,
1325,FEET,,
1325,HANDS/FISTS,,
1325,VERBAL THREAT (ASSAULT),,
